start,end,street_name,time
2829090597,2829090598,East170thStreet,12.851612631578947
103137045,103137037,RiverRoad,12.728123076923074
42762616,42742808,BarnesAvenue,35.2167
42467085,42467081,MidwoodStreet,24.47441666666666
42465340,42521144,20thStreet,29.894686538461546
42516233,42516238,MarcusGarveyBoulevard,15.975567171479078
103137037,103137045,RiverRoad,13.134991086956525
42467081,42467079,MidwoodStreet,28.95225
103137037,103137025,RiverRoad,28.36440624999999
42516074,42521141,4thAvenue,13.524695501432669
42467079,42467077,MidwoodStreet,36.47732499999999
42761878,42765482,GleasonAvenue,9.961121538461539
42466921,42471953,LocustStreet,22.723047829787227
42762858,42735063,East166thStreet,16.454951250000004
42736984,1544574107,BaileyAvenue,15.815790253164561
42467077,42467075,MidwoodStreet,33.287274999999994
42861322,42828372,18thStreet,12.953183091787436
42517050,42490731,MyrtleAvenue,13.118754610492845
42516258,42515255,MarcusGarveyBoulevard,16.28711335122699
103184816,103228539,BergenTurnpike,21.2233
42516721,42500887,LottAvenue,14.866428571428573
42467150,42464682,MillerAvenue,18.805928333333327
42517539,42475481,DeanStreet,26.372087405541553
1061531509,42443310,West62ndStreet,24.730342034470212
42761331,42782146,East212thStreet,16.7271
103137025,103137037,RiverRoad,30.84463829787233
42467069,42467065,MidwoodStreet,42.25798
42817906,2312768053,43rdAvenue,20.886971388888885
42516713,42500877,DumontAvenue,9.243483333333334
42467065,42467069,MidwoodStreet,24.74635647058824
42762623,42741923,BarnesAvenue,10.174515000000003
42445733,596776103,East88thStreet,24.69966145215181
103874204,103877216,NewYorkAvenue,8.4691025
103874204,103877214,NewYorkAvenue,5.767903829787237
42909266,42914502,64thLane,8.237264
1064257425,42874203,90thStreet,17.79922367724868
42465315,42521141,15thStreet,38.77774166666669
42467059,42467065,MidwoodStreet,11.83419142857143
103874294,103874292,3rdStreet,12.848860923076918
373867810,42467405,HamiltonAvenue,11.987971640314289
373867810,42467403,ColumbiaStreet,11.08503712895376
103874292,103874290,3rdStreet,13.328195942028985
42468780,1260335214,FultonStreet,8.211407000000003
103137010,103137003,RiverRoad,8.839750714285715
42809599,42858180,72ndStreet,41.02155
276299050,276314183,QueensBoulevard,19.849621059253234
103874288,103874285,3rdStreet,14.09718944444445
42860701,42846791,47thAvenue,30.4713675
42516599,42503841,FranklinStreet,13.572981132591284
