name,pop,area (m^2)
42766729,1597,156292
42765717,3177,109554
42765506,1555,135208
42765482,2897,156405
42765344,4115,114036
42765336,2148,126341
42763809,1927,112826
42763802,6733,197930
373850911,6637,214938
42762867,4591,155272
42762682,3490,223327
42762677,3756,223225
42762640,4585,215283
42762623,2222,186529
42762442,5466,213574
42762422,2164,103416
42761504,1736,157012
42761465,3818,161378
42761455,6188,184397
42761419,2383,181709
42761356,1631,50790
42761317,6051,155525
42761235,6475,216210
42760984,2582,70305
42760978,3713,242363
42760945,5457,181658
42760848,6356,2299936
42760117,3702,522261
42760103,3216,183256
42760037,3413,150723
42759500,5103,232208
42759211,3710,187162
42759203,5643,485079
42759029,2061,126088
42758086,2120,173984
42758077,7040,165575
42758036,6332,125572
42758014,5685,151375
42757929,4386,95296
42757892,4100,181174
42757884,1818,158134
42757764,4380,241264
42757684,3307,265742
42757645,6966,264733
42757560,4146,410033
42757031,4334,455322
42756720,2661,142706
42756707,1907,92188
42756319,4340,342225
42756268,3905,168791
42756220,6155,213933
42756021,2596,156934
42755783,4573,145220
42755703,6652,181866
42755235,3761,142005
42755157,3420,102256
42755148,6793,290825
42754962,3005,118752
42754873,3273,94057
42754039,1487,232610
42754035,3882,239143
42753929,5093,192276
42753920,6382,149155
42753824,7509,223020
42753796,3677,239271
42753677,3186,562928
42753617,3891,1373718
42752786,6734,326909
42752778,4037,71400
42752600,6863,141217
42752593,4397,81142
42752592,4386,62753
596399974,1129,327436
247224533,25,2939920
42751992,5565,152054
42751940,3050,150366
42751935,3425,221540
42751875,5698,165662
42751808,3598,269141
42750734,2711,136188
42750730,5823,113901
42750514,6984,158883
42750123,3086,174417
42750067,4241,198177
42749785,5280,1027550
42749770,1907,264085
42749752,6984,212430
42749625,6418,307373
42749561,4767,97889
42749550,2031,182544
42749511,4593,170429
42749484,3758,67461
42748562,4502,198277
42748477,7698,179326
42748428,3580,320053
42748380,3967,164326
42748177,3437,177102
42747790,1875,289782
42747763,5052,424368
42747626,3554,240656
42747612,4240,232992
42747574,3300,77226
42747568,5555,96381
42747506,6106,145103
42747486,5253,100598
42747465,1781,96134
42747458,3048,129819
42747216,1917,1643654
42746967,3415,65227
42746470,2011,169530
42746142,6218,172197
42746117,2708,84896
42745895,245,167634
42745893,5056,225393
42745283,2957,268373
42745234,2303,158885
42745224,1675,156834
42745144,2615,341279
42745132,4618,158332
42745117,3979,204657
42745018,1764,104134
42744747,5334,160198
42744697,3506,89700
42744088,7564,187977
42743938,6911,151593
42743872,5810,489293
42743778,4,675614
42743607,5190,217095
42743598,4797,263379
42743521,4475,157365
42743114,3777,385392
42742846,6129,437468
42742517,4677,76720
42742448,4294,106630
42742419,4015,156382
42742280,3845,96228
42742143,1959,169924
42741753,1656,174956
42741742,1949,156698
42741596,3794,128859
42741552,3097,335573
42741500,2058,152436
42741154,7384,173763
42741014,8143,182509
1891639900,6529,174375
42740532,5370,119599
42740445,2599,92813
42740434,2119,68211
42740325,6019,162302
42740197,1367,141459
42739761,6384,161159
42739705,5987,165274
42739700,3647,112288
42739583,3149,237633
42738880,1264,63397
42737955,5279,122662
42737719,3113,83140
42737707,5491,127619
537402576,2332,250113
42737364,6585,192959
42737338,3883,148422
42737308,5503,912393
42737272,7143,483365
42737259,4206,164180
42737106,6499,320550
42737058,3016,215289
42737040,4263,125995
42736677,4478,86879
42736640,8154,177423
42736345,4361,132526
42736089,5922,248784
42736037,3849,68558
42735931,1556,41502
42735919,5853,199723
42735904,5586,417476
42735692,5337,262547
42735486,3178,155302
42735337,5017,308605
42735309,5267,100357
42735026,4869,227858
42735006,5415,165079
42734969,1201,67076
42734768,5769,165882
42734637,3154,331184
42734582,4167,115205
42734414,1810,178366
42734382,3363,277909
42734266,7752,349820
42734104,5461,136156
42733958,6127,184733
42733927,1537,122237
42733890,3347,58235
42733844,8348,177025
42733827,6182,134516
42733818,4377,120232
42733802,5196,117009
42733778,5047,91547
42733725,7756,219852
42733618,4031,233282
42733404,4152,290974
42733384,3090,116361
42733367,2253,107703
42733190,2423,98168
42733174,2005,93735
42733116,2931,120752
42732863,4933,104522
1927807845,1543,128464
42731581,5432,212597
42731557,1420,123145
42730980,6942,199916
42730798,2898,206164
42730140,1077,187785
42730131,2047,208334
42730123,1663,92918
42730120,5110,116306
42730113,6461,138921
42730101,5816,181441
42730025,4758,190980
42729942,1932,173409
42729851,5325,173648
42729826,6992,206377
42729818,5318,173453
589298625,4875,131128
42720069,5409,209484
42720041,6802,208059
42720013,3637,822641
42719678,2606,148659
42719668,2975,181646
42719583,5065,171925
42719573,7942,213239
2548015240,1509,90047
380059967,3604,494557
278608811,4869,133767
277032734,8,1253788
2521229331,5628,269727
2479546857,4360,389752
2872728055,2229,180215
1672106382,8306,343957
595480989,7021,190303
598622310,1880,153814
598622272,3426,326888
598622249,2057,143956
2889232207,5696,206129
374482644,4035,540591
889585049,5677,257640
371321235,3396,359361
2520377434,4382,218217
2028327988,3341,66585
2561266487,6814,167237
552189311,4814,134994
2307230978,3499,125394
42537098,1445,330370
42536166,5451,106372
486868873,8660,222660
486867605,2782,114218
42534052,4247,83724
42534032,3228,139778
42533191,327,1051763
42531870,4597,231586
42531407,3752,168053
42530350,5074,149074
42530139,3013,225854
42529545,1888,1648060
42529162,4163,169412
42528868,6418,213163
42527659,2786,174304
42527635,3933,159004
42526740,2288,174635
42526520,5469,142095
42526329,1697,140848
42525144,8938,483314
42525015,2017,319760
42524972,4064,168245
42524917,4648,173959
42524687,3371,162285
42524140,5061,171841
42523639,5495,1096120
42522831,2464,56086
42521762,4638,168915
42521159,3299,237389
42521125,2159,136889
42520965,3006,151415
42520333,4413,110399
42520296,3609,149993
42520258,3786,154349
42519973,5236,167059
42519635,3694,141790
42519630,7027,161566
42519536,3749,208251
42518540,5036,250844
42517498,1255,120493
42516689,2624,126353
42516362,1754,142626
42516279,4180,162078
42516250,4193,161938
42516238,4097,121876
42516233,2802,119870
42516224,428,83241
42516014,1305,184971
42515964,2579,143535
42515129,3914,182839
42515027,2932,2118823
42515023,2171,181507
42514554,1735,187367
42514451,3255,251567
42514385,3920,159562
42514378,3838,159608
42514361,4917,199418
42514354,2010,80237
42514347,3419,59594
42514344,2131,181120
42513819,3538,210275
42513805,3518,159606
42513757,3380,159720
42513719,3549,189620
42513678,4039,91612
42513375,6740,203180
42513257,4338,223438
2757013603,113,2218885
42513071,2543,151414
42512738,4080,78240
42512579,3651,179594
42512437,2921,181565
42512268,14,504652
42512094,2310,159120
42512083,2608,170120
42512058,1372,186641
42511697,3936,168843
42511668,4304,185243
42511649,1900,153055
42511599,2907,159392
42511525,4581,195832
42511304,4315,159862
42511215,6250,103103
42511030,3318,219292
42510453,2231,152300
42510401,3204,155718
42510369,2791,179640
42510143,3624,158819
42509659,5557,166471
42509649,5113,168208
42509305,3154,235210
42509198,3920,190714
42509044,6405,168410
42506544,5630,168134
42506525,4249,187271
42506427,3575,167461
42506344,5245,168436
42506231,2105,2386983
42506186,3564,273632
42505910,5141,186462
42504787,4544,265636
42504647,2403,429740
42504343,2595,158244
42503992,5610,212068
42503968,3990,296443
42503841,3295,341542
42503269,3156,174580
42502953,7625,228008
42502855,2996,140147
42502705,5191,250928
42502684,3301,156140
42502404,390,167607
42502390,3784,170809
42502366,2770,133946
42502312,3216,123227
42501930,2540,317241
42501896,5549,322484
1692433920,4204,124440
42501272,3674,161924
42501267,1868,119604
42500955,4651,174374
42500884,4325,215640
42500870,2656,251687
42500051,2929,188914
42500028,2838,153420
